Zip_Code,County,City,Place,Type,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev
90010,Alameda County,Los Angeles,Alameda city,Track,213,651518,0,34.0653405,-118.3184531,84137,300000,68849
90019,Alameda County,Los Angeles,Alameda city,Track,323,373620,0,34.0494541,-118.3215149,64429,42865,64289
90006,Alameda County,Los Angeles,Alameda city,Track,213,312089,0,34.0508743,-118.2978915,38042,28469,28015
90036,Alameda County,Los Angeles,Alameda city,Track,818,1011536,0,34.0748535,-118.348502,91974,300000,88846
90211,Alameda County,Beverly Hills,Alameda city,Track,310,506805,0,34.0729596,-118.3800926,83580,60080,67837
90016,Alameda County,Los Angeles,Alameda city,Track,323,891389,9421,34.0427467,-118.3548171,36483,25753,30278
90056,Alameda County,Los Angeles,Alameda city,Track,323,703403,0,34.0326941,-118.3230172,53101,38801,48642
90007,Alameda County,Los Angeles,Alameda city,Track,323,659399,0,34.0435736,-118.2960214,43755,38672,29764
90018,Alameda County,Los Angeles,Alameda city,Track,213,532313,0,34.0384431,-118.3090474,59581,37415,61162
90011,Alameda County,Los Angeles,Alameda city,Track,323,426940,0,34.0218419,-118.2570623,37079,25700,36339
90058,Alameda County,Los Angeles,Alameda city,Track,323,844483,0,33.9992469,-118.2432565,27709,21613,21297
90062,Alameda County,Los Angeles,Alameda city,Track,323,621035,0,34.0145548,-118.3129995,45723,38509,30133
90037,Alameda County,Los Angeles,Alameda city,Track,323,323785,0,34.0073136,-118.2893576,27902,24958,24136
90044,Alameda County,Los Angeles,Alameda city,Track,323,795281,0,33.9920924,-118.2979984,40317,27101,39650
90008,Alameda County,Los Angeles,Alameda city,Track,323,1241882,0,34.0120868,-118.3214867,80654,70607,58446
90043,Alameda County,Los Angeles,Alameda city,Track,323,742058,0,33.9872213,-118.3276852,50194,31219,54157
90305,Alameda County,Inglewood,Alameda city,Track,323,983749,0,33.963628,-118.3111989,49347,34421,43056
90001,Alameda County,Los Angeles,Alameda city,Track,323,474213,0,33.9729857,-118.2628927,36769,30036,30034
90003,Alameda County,Los Angeles,Alameda city,Track,323,409688,0,33.966092,-118.2752631,37936,34678,22619
90002,Alameda County,Los Angeles,Alameda city,Track,323,1194494,0,33.9470153,-118.2593919,26815,18303,26115
90059,Alameda County,Los Angeles,Alameda city,Track,323,475994,0,33.932376,-118.2502423,23353,12486,22296
90077,Alameda County,Los Angeles,Alameda city,Track,310,8744150,27033,34.108023,-118.4569642,166585,300000,100375
90049,Alameda County,Los Angeles,Alameda city,Track,310,11268734,0,34.0918093,-118.508627,189728,300000,84217
90272,Alameda County,Pacific Palisades,Alameda city,Track,310,1946781,528324,34.040805,-118.5419865,130804,118247,89940
90024,Alameda County,Los Angeles,Alameda city,Track,310,438820,0,34.0668275,-118.4364091,103013,91139,88538
90025,Alameda County,Los Angeles,Alameda city,Track,310,1103958,0,34.0525736,-118.4245499,112470,97041,75401
90035,Alameda County,Los Angeles,Alameda city,Track,310,814659,0,34.0387217,-118.4441579,86354,77492,65205
90034,Alameda County,Los Angeles,Alameda city,Track,310,2283621,0,34.043325,-118.404305,201716,300000,73283
90064,Alameda County,Los Angeles,Alameda city,Track,310,2205507,3034,34.0444598,-118.4122005,165946,300000,84616
90066,Alameda County,Los Angeles,Alameda city,Track,310,910076,0,34.0166822,-118.4382414,139846,116703,80004
90291,Alameda County,Venice,Alameda city,Track,310,1175330,0,34.0034847,-118.4597995,127023,117987,84722
90292,Alameda County,Marina Del Rey,Alameda city,Track,310,902161,285884,33.9832035,-118.4661393,129091,94781,80712
94703,Alameda County,Berkeley,Alameda city,Track,510,726625,0,37.8573281,-122.2842016,77898,64599,63168
90230,Alameda County,Los Angeles,Alameda city,Track,323,610131,13717,33.9979789,-118.4112469,59922,300000,45972
90045,Alameda County,Los Angeles,Alameda city,Track,310,1275965,0,33.9668881,-118.4095017,113745,107969,72873
90293,Alameda County,Playa Del Rey,Alameda city,Track,310,454678,0,33.9558339,-118.4365003,86856,71650,63594
90247,Alameda County,Gardena,Alameda city,Track,310,818694,0,33.8771395,-118.286709,50930,35604,49082
90501,Alameda County,Torrance,Alameda city,Track,310,1066349,4455,33.8308864,-118.30513,71178,63008,50150
90710,Alameda County,Harbor City,Alameda city,Track,310,569496,0,33.7926172,-118.3043149,64107,48109,47672
90744,Alameda County,Wilmington,Alameda city,Track,310,1560996,0,33.7957797,-118.2475763,48199,31470,44589
90731,Alameda County,San Pedro,Alameda city,Track,310,536366,0,33.7410279,-118.2837798,68164,55848,62112
90732,Alameda County,San Pedro,Alameda city,Track,310,2092349,956009,33.7208388,-118.3228117,125147,300000,65068
91214,Alameda County,La Crescenta,Alameda city,Track,818,1897425,5580,34.2283768,-118.2386852,103793,86533,66206
91208,Alameda County,Glendale,Alameda city,Track,818,2226739,36667,34.2083519,-118.2370026,99322,300000,55854
91202,Alameda County,Glendale,Alameda city,Track,818,11397186,64997,34.1812932,-118.2602776,125819,113952,88892
91206,Alameda County,Glendale,Alameda city,Track,818,1330128,14710,34.1622943,-118.2471275,71613,300000,51090
91201,Alameda County,Glendale,Alameda city,Track,818,599882,0,34.1752478,-118.2869319,78126,70374,55194
91203,Alameda County,Glendale,Alameda city,Track,818,479027,0,34.1492141,-118.2597025,65155,34908,67101
91205,Alameda County,Glendale,Alameda city,Track,818,339801,0,34.1488475,-118.2387735,56184,39268,51757
91204,Alameda County,Glendale,Alameda city,Track,818,700563,0,34.1446832,-118.2632444,86436,55120,74657
91501,Alameda County,Burbank,Alameda city,Track,818,915006,0,34.1865849,-118.2959084,95896,76779,73577
91504,Alameda County,Burbank,Alameda city,Track,818,1965651,0,34.1946547,-118.3394509,71316,63799,48326
91502,Alameda County,Burbank,Alameda city,Track,818,1052158,0,34.1811419,-118.3067629,47878,35793,34513
91101,Alameda County,Pasadena,Alameda city,Track,818,2172993,0,34.1813842,-118.3309896,67988,43316,55087
91505,Alameda County,Burbank,Alameda city,Track,818,1704836,0,34.1856903,-118.3546268,93727,300000,56108
91506,Alameda County,Burbank,Alameda city,Track,818,2352877,0,34.1617644,-118.3200887,92215,300000,73321
91340,Alameda County,San Fernando,Alameda city,Track,818,1615102,0,34.2897466,-118.4345092,69910,66670,43702
91741,Alameda County,Glendora,Alameda city,Track,626,10872476,10499,34.1611292,-117.8641751,135047,300000,79740
91740,Alameda County,Glendora,Alameda city,Track,626,3011645,3558,34.1234558,-117.8541745,69703,300000,66021
91767,Alameda County,Pomona,Alameda city,Track,909,1811578,0,34.1001078,-117.741743,72283,67063,52393
91711,Alameda County,Claremont,Alameda city,Track,909,1458712,0,34.087518,-117.7249199,80489,75939,57703
91768,Alameda County,Pomona,Alameda city,Track,909,697361,0,34.0617068,-117.7658059,39659,30306,33027
91766,Alameda County,Pomona,Alameda city,Track,909,1311060,0,34.0483607,-117.7322415,50018,47010,29533
91706,Alameda County,Baldwin Park,Alameda city,Track,626,1156276,0,34.0707544,-117.9850286,52026,42556,42691
91790,Alameda County,West Covina,Alameda city,Track,626,1797003,0,34.0764659,-117.9439945,72493,300000,40579
91722,Alameda County,Covina,Alameda city,Track,626,1377266,0,34.0921972,-117.9121014,72862,60012,50476
91746,Alameda County,La Puente,Alameda city,Track,626,1071060,23653,34.0595763,-117.979529,72821,66800,38164
91744,Alameda County,La Puente,Alameda city,Track,626,1455297,0,34.0335496,-117.9597817,86036,85900,54523
91791,Alameda County,West Covina,Alameda city,Track,626,1363454,1729,34.0455304,-117.9154705,100851,104414,51221
91748,Alameda County,Rowland Heights,Alameda city,Track,626,2815273,35848,33.994422,-117.8795586,70175,56154,50688
91745,Alameda County,Hacienda Heights,Alameda city,Track,626,879097,0,34.0113976,-117.9679362,65473,57321,46016
91010,Alameda County,Duarte,Alameda city,Track,626,11896029,0,34.1722232,-117.9422558,105358,108251,46966
91356,Alameda County,Tarzana,Alameda city,Track,818,338299,0,34.1767231,-118.5383656,53763,44404,44441
91024,Alameda County,Sierra Madre,Alameda city,Track,626,2942902,1007,34.162053,-118.052919,107162,90293,76950
91007,Alameda County,Arcadia,Alameda city,Track,626,2977806,13098,34.1422654,-118.0608911,75544,52547,62299
91780,Alameda County,Temple City,Alameda city,Track,626,1033376,10032,34.0981939,-118.0327899,35100,19836,41850
91731,Alameda County,El Monte,Alameda city,Track,626,1951202,30495,34.0865238,-118.0462778,76522,55648,57783
91732,Alameda County,El Monte,Alameda city,Track,626,2611603,204454,34.0966686,-118.0058397,68133,57351,58636
91770,Alameda County,Rosemead,Alameda city,Track,626,1083978,0,34.0786952,-118.0599559,84718,66462,69792
91733,Alameda County,South El Monte,Alameda city,Track,626,3130373,69479,34.0468938,-118.0588991,46816,33670,34545
91001,Alameda County,Altadena,Alameda city,Track,626,3208376,1899,34.2022974,-118.1374923,100351,300000,58212
91011,Alameda County,La Canada,Alameda city,Track,818,2614170,0,34.2062406,-118.1950104,176514,300000,68029
91103,Alameda County,Pasadena,Alameda city,Track,626,1004066,0,34.174165,-118.1372082,55463,44804,46595
91104,Alameda County,Pasadena,Alameda city,Track,626,511535,0,34.1633406,-118.1483611,47208,300000,59419
91106,Alameda County,Pasadena,Alameda city,Track,626,632478,0,34.1549625,-118.1270033,50706,35231,41165
91108,Alameda County,San Marino,Alameda city,Track,626,6266421,6273,34.1202462,-118.1222337,178029,204164,78730
91775,Alameda County,San Gabriel,Alameda city,Track,626,1517325,0,34.1089102,-118.0972871,127983,300000,65760
91801,Alameda County,Alhambra,Alameda city,Track,626,1285544,0,34.1039997,-118.1321698,121801,104023,86965
91030,Alameda County,South Pasadena,Alameda city,Track,626,2329350,30197,34.1193401,-118.1551292,74402,55405,58793
91803,Alameda County,Alhambra,Alameda city,Track,626,1713241,0,34.0820627,-118.1526495,78622,58614,56089
91776,Alameda County,San Gabriel,Alameda city,Track,626,882649,0,34.099157,-118.1069461,57232,47607,42083
91754,Alameda County,Monterey Park,Alameda city,Track,626,2488395,0,34.0488369,-118.1482676,83332,60854,66733
91755,Alameda County,Monterey Park,Alameda city,Track,626,646868,0,34.0589573,-118.1124273,44073,27978,50932
90605,Alameda County,Whittier,Alameda city,Track,562,6337484,19754,33.9613945,-117.9940889,153156,300000,78923
90660,Alameda County,Pico Rivera,Alameda city,Track,562,1192852,0,34.0139543,-118.0739967,75490,73063,43795
90601,Alameda County,Whittier,Alameda city,Track,562,1417554,0,33.998845,-118.0628302,88766,78658,62006
90602,Alameda County,Whittier,Alameda city,Track,562,9775485,10502,33.9760214,-118.008555,70285,48157,55732
90606,Alameda County,Whittier,Alameda city,Track,562,1750402,11542,33.9775294,-118.0729448,73814,58849,55841
90670,Alameda County,Santa Fe Springs,Alameda city,Track,562,6982971,0,33.9548068,-118.0716366,76128,60661,43733
90604,Alameda County,Whittier,Alameda city,Track,562,1344849,0,33.9324918,-118.0266537,68760,62108,59694
90638,Alameda County,La Mirada,Alameda city,Track,562,3278343,19960,33.9113984,-117.9989996,116058,96936,79934
90039,Alameda County,Los Angeles,Alameda city,Track,323,905660,17207,34.1207814,-118.2647639,87637,300000,54816
90640,Alameda County,Montebello,Alameda city,Track,323,659020,1580,34.020019,-118.1126395,64591,49628,52342
90022,Alameda County,Los Angeles,Alameda city,Track,323,855876,0,34.0278115,-118.1479458,47462,44387,24598
90023,Alameda County,Los Angeles,Alameda city,Track,323,883751,0,34.016901,-118.182724,31064,19354,30982
90255,Alameda County,Huntington Park,Alameda city,Track,323,278787,0,33.9832062,-118.2208725,35969,27107,25779
90270,Alameda County,Maywood,Alameda city,Track,323,346625,0,33.9927923,-118.2024051,28800,21049,26824
90201,Alameda County,Bell,Alameda city,Track,323,701194,0,33.9771928,-118.1965167,52302,56738,34829
94501,Alameda County,Alameda,Alameda city,Track,510,582861,0,37.7778323,-122.2835979,57071,43007,50318
90262,Alameda County,Lynwood,Alameda city,Track,310,1254586,0,33.931052,-118.1901733,42656,41431,27962
90222,Alameda County,Compton,Alameda city,Track,310,937161,0,33.9243583,-118.2341162,38523,28460,36637
90061,Alameda County,Los Angeles,Alameda city,Track,323,1163425,331,33.9194635,-118.2717325,51540,44268,33811
90227,Alameda County,Compton,Alameda city,Track,310,872253,0,33.8996115,-118.2262997,51253,44426,39675
90746,Alameda County,Carson,Alameda city,Track,310,2885933,0,33.881033,-118.2539533,54426,48895,41206
90747,Alameda County,Carson,Alameda city,Track,310,4880852,0,33.8656664,-118.25076,77615,66090,53106
90745,Alameda County,Carson,Alameda city,Track,310,1315476,0,33.8135657,-118.2696681,73556,57020,58825
90810,Alameda County,Long Beach,Alameda city,Track,310,1603847,0,33.830434,-118.2159632,92074,94556,45388
90650,Alameda County,Norwalk,Alameda city,Track,562,533403,0,33.9278762,-118.0841626,79170,300000,46580
90240,Alameda County,Downey,Alameda city,Track,562,2572802,111791,33.9502684,-118.1063383,125282,300000,78348
90241,Alameda County,Downey,Alameda city,Track,562,2860225,39165,33.95127,-118.1433556,63954,53192,41428
90706,Alameda County,Bellflower,Alameda city,Track,562,1860204,62560,33.9049648,-118.1205611,86014,300000,51952
90703,Alameda County,Cerritos,Alameda city,Track,562,3833213,0,33.8767524,-118.0551677,106789,96089,69002
90701,Alameda County,Artesia,Alameda city,Track,562,1535369,0,33.8693945,-118.0806903,75344,61821,61215
90716,Alameda County,Hawaiian Gardens,Alameda city,Track,562,1065760,36623,33.8200771,-118.0728449,115804,96094,80111
90805,Alameda County,Long Beach,Alameda city,Track,562,1664712,0,33.8794113,-118.1785185,63240,52217,48936
